dataset,model_type,fold,iou_threshold,macro_f1_iou,macro_iou,f1_iou_Fixation,iou_Fixation,precision_iou_Fixation,recall_iou_Fixation,f1_iou_Saccade,iou_Saccade,precision_iou_Saccade,recall_iou_Saccade,f1_iou_Pursuit,iou_Pursuit,precision_iou_Pursuit,recall_iou_Pursuit,f1_iou_Blink,iou_Blink,precision_iou_Blink,recall_iou_Blink
gazecom,cnn_bilstm,1,0.5000,0.5990,0.9750,0.6096,0.9062,0.6816,0.5513,0.7695,0.9976,0.7736,0.7654,0.5192,0.9970,0.6383,0.4376,0.4977,0.9993,0.8169,0.3579
gazecom,cnn_bilstm,2,0.5000,0.6253,0.9761,0.6238,0.9099,0.6977,0.5640,0.7829,0.9978,0.7898,0.7762,0.5355,0.9973,0.6792,0.4420,0.5590,0.9994,0.8129,0.4259
gazecom,cnn_bilstm,3,0.5000,0.5932,0.9747,0.5970,0.9037,0.6825,0.5306,0.7696,0.9980,0.7697,0.7694,0.4859,0.9977,0.6704,0.3810,0.5202,0.9993,0.7972,0.3860
gazecom,cnn_bilstm,4,0.5000,0.5959,0.9743,0.5927,0.9025,0.6873,0.5210,0.7775,0.9977,0.7842,0.7709,0.4707,0.9978,0.6854,0.3585,0.5427,0.9991,0.8204,0.4054
gazecom,cnn_bilstm,5,0.5000,0.5868,0.9740,0.5900,0.9012,0.6766,0.5231,0.7678,0.9979,0.7700,0.7655,0.4718,0.9975,0.6472,0.3712,0.5176,0.9994,0.8103,0.3803
gazecom,cnn_lstm,1,0.5000,0.6443,0.9775,0.6461,0.9158,0.7010,0.5991,0.7931,0.9979,0.7900,0.7962,0.5699,0.9971,0.6647,0.4987,0.5680,0.9992,0.8030,0.4394
gazecom,cnn_lstm,2,0.5000,0.6243,0.9758,0.6209,0.9086,0.6970,0.5597,0.7813,0.9978,0.7921,0.7708,0.5331,0.9975,0.6803,0.4382,0.5618,0.9993,0.8147,0.4287
gazecom,cnn_lstm,3,0.5000,0.6376,0.9767,0.6333,0.9122,0.7036,0.5757,0.7903,0.9981,0.8018,0.7793,0.5564,0.9972,0.6828,0.4695,0.5706,0.9994,0.8172,0.4383
gazecom,cnn_lstm,4,0.5000,0.6210,0.9755,0.6165,0.9076,0.6933,0.5551,0.7852,0.9978,0.7950,0.7756,0.5195,0.9973,0.6685,0.4247,0.5629,0.9994,0.8121,0.4307
gazecom,cnn_lstm,5,0.5000,0.6410,0.9770,0.6375,0.9134,0.7038,0.5827,0.7921,0.9982,0.8048,0.7798,0.5630,0.9972,0.6738,0.4835,0.5715,0.9992,0.8104,0.4414
gazecom,conv_attention,1,0.5000,0.7993,0.9881,0.8091,0.9564,0.8305,0.7887,0.8162,0.9982,0.8245,0.8081,0.8203,0.9982,0.8465,0.7956,0.7518,0.9994,0.8466,0.6760
gazecom,conv_attention,2,0.5000,0.8099,0.9888,0.8239,0.9594,0.8431,0.8055,0.8119,0.9981,0.8178,0.8060,0.8420,0.9983,0.8653,0.8199,0.7618,0.9995,0.8457,0.6930
gazecom,conv_attention,3,0.5000,0.8102,0.9888,0.8223,0.9593,0.8421,0.8035,0.8141,0.9983,0.8228,0.8056,0.8381,0.9983,0.8613,0.8162,0.7664,0.9994,0.8483,0.6989
gazecom,conv_attention,4,0.5000,0.8152,0.9890,0.8284,0.9605,0.8479,0.8099,0.8144,0.9980,0.8237,0.8053,0.8481,0.9982,0.8698,0.8275,0.7699,0.9993,0.8508,0.7031
gazecom,conv_attention,5,0.5000,0.8098,0.9888,0.8212,0.9592,0.8426,0.8009,0.8139,0.9983,0.8241,0.8039,0.8391,0.9982,0.8651,0.8147,0.7648,0.9993,0.8485,0.6961
gazecom,skip_attseqnet,1,0.5000,0.5740,0.9728,0.5743,0.8972,0.6369,0.5228,0.7608,0.9975,0.7576,0.7640,0.4518,0.9971,0.5407,0.3880,0.5090,0.9995,0.8007,0.3731
gazecom,skip_attseqnet,2,0.5000,0.5682,0.9731,0.5755,0.8985,0.6308,0.5292,0.7454,0.9973,0.7315,0.7598,0.4597,0.9971,0.5484,0.3958,0.4921,0.9994,0.8080,0.3538
gazecom,skip_attseqnet,3,0.5000,0.5675,0.9731,0.5763,0.8976,0.6556,0.5142,0.7567,0.9976,0.7436,0.7703,0.4505,0.9977,0.6161,0.3550,0.4863,0.9994,0.8063,0.3482
gazecom,skip_attseqnet,4,0.5000,0.5682,0.9728,0.5754,0.8975,0.6354,0.5257,0.7523,0.9975,0.7428,0.7620,0.4633,0.9968,0.5526,0.3988,0.4819,0.9995,0.7921,0.3462
gazecom,skip_attseqnet,5,0.5000,0.5778,0.9736,0.5881,0.9000,0.6581,0.5316,0.7561,0.9978,0.7405,0.7724,0.4739,0.9971,0.6100,0.3875,0.4930,0.9996,0.8188,0.3527
gazecom,tcn,1,0.5000,0.6253,0.9765,0.6313,0.9115,0.7011,0.5742,0.7842,0.9978,0.7804,0.7880,0.5491,0.9973,0.6827,0.4593,0.5367,0.9993,0.8137,0.4005
gazecom,tcn,2,0.5000,0.6224,0.9764,0.6309,0.9115,0.6973,0.5760,0.7788,0.9977,0.7765,0.7812,0.5552,0.9972,0.6681,0.4750,0.5248,0.9994,0.8313,0.3834
