variant_tag,use_attention,use_positional_encoding,encoder_layers,F1_avg,F1_Fixation,F1_Saccade,F1_Pursuit,F1_Blink,ev_F1_avg,ev_F1_Fixation,ev_F1_Saccade,ev_F1_Pursuit,ev_F1_Blink,roc_auc_macro,roc_auc_micro,val_loss,train_loss,epochs_run,Prec_Fixation,Prec_Saccade,Prec_Pursuit,Prec_Blink,Rec_Fixation,Rec_Saccade,Rec_Pursuit,Rec_Blink
no_attention,False,True,3,0.8096,0.9422,0.8419,0.7509,0.7032,0.8053,0.8620,0.8545,0.7814,0.7233,0.9603,0.9827,0.3055,0.2494,98,0.9160,0.8683,0.8334,0.8354,0.9699,0.8170,0.6833,0.6072
no_encoder,True,True,0,0.7558,0.9284,0.8384,0.6406,0.6158,0.7421,0.8265,0.8540,0.6659,0.6219,0.9290,0.9729,0.3741,0.3887,84,0.8910,0.8440,0.7892,0.8631,0.9691,0.8329,0.5391,0.4786
full,True,True,3,0.8714,0.9630,0.8539,0.8772,0.7915,0.8734,0.9137,0.8694,0.8998,0.8108,0.9819,0.9917,0.2042,0.1918,296,0.9497,0.8640,0.9053,0.8852,0.9766,0.8440,0.8507,0.7157
encoder_2layer,True,True,2,0.8426,0.9537,0.8505,0.8265,0.7397,0.8405,0.8890,0.8655,0.8529,0.7545,0.9751,0.9888,0.2400,0.2475,300,0.9339,0.8610,0.8791,0.8794,0.9744,0.8403,0.7799,0.6383
encoder_1layer,True,True,1,0.7905,0.9381,0.8498,0.7198,0.6543,0.7796,0.8480,0.8651,0.7462,0.6593,0.9535,0.9808,0.3149,0.3279,300,0.9062,0.8584,0.8311,0.8815,0.9723,0.8414,0.6349,0.5202
cnn_attention_pos,True,True,0,0.7558,0.9284,0.8384,0.6406,0.6158,0.7421,0.8265,0.8540,0.6659,0.6219,0.9290,0.9729,0.3741,0.3887,84,0.8910,0.8440,0.7892,0.8631,0.9691,0.8329,0.5391,0.4786
cnn,False,False,0,0.7544,0.9273,0.8371,0.6344,0.6190,0.7436,0.8277,0.8557,0.6637,0.6271,0.9270,0.9721,0.3826,0.3963,60,0.8919,0.8381,0.7730,0.8491,0.9655,0.8362,0.5379,0.4870
no_attn_no_pos,False,False,3,0.8181,0.9454,0.8405,0.7713,0.7152,0.8150,0.8697,0.8564,0.7964,0.7376,0.9645,0.9843,0.2987,0.2195,114,0.9213,0.8552,0.8564,0.8356,0.9707,0.8262,0.7016,0.6251
no_pos_encoding,True,False,3,0.8011,0.9385,0.8380,0.7412,0.6866,0.8068,0.8659,0.8561,0.7893,0.7160,0.9547,0.9805,0.3237,0.2509,100,0.9189,0.8526,0.7913,0.8002,0.9590,0.8239,0.6970,0.6012
cnn_attention,True,False,0,0.7534,0.9279,0.8362,0.6380,0.6114,0.7394,0.8253,0.8516,0.6621,0.6185,0.9284,0.9726,0.3762,0.3912,94,0.8905,0.8410,0.7855,0.8622,0.9686,0.8315,0.5371,0.4737
