dataset,model_type,n_folds_found,incomplete,source_file,F1_avg_mean,F1_avg_std,F1_Fixation_mean,F1_Fixation_std,F1_Saccade_mean,F1_Saccade_std,F1_Pursuit_mean,F1_Pursuit_std,F1_Blink_mean,F1_Blink_std,ev_F1_avg_mean,ev_F1_avg_std,ev_F1_Fixation_mean,ev_F1_Fixation_std,ev_F1_Saccade_mean,ev_F1_Saccade_std,ev_F1_Pursuit_mean,ev_F1_Pursuit_std,ev_F1_Blink_mean,ev_F1_Blink_std,roc_auc_macro_mean,roc_auc_macro_std,roc_auc_micro_mean,roc_auc_micro_std,val_loss_mean,val_loss_std,train_loss_mean,train_loss_std,epochs_run_mean,epochs_run_std
gazecom,cnn_bilstm,5,False,results\kfold\gazecom\cnn_bilstm\fold_5\fold5_20260910_054800_t25_blstm2_f32-16-8_k3_do25_lr01_b2048_cnnbilstm_metrics.csv,0.7130,0.0122,0.9205,0.0021,0.8186,0.0056,0.5574,0.0309,0.5554,0.0249,0.6904,0.0145,0.8030,0.0068,0.8315,0.0059,0.5711,0.0400,0.5559,0.0263,0.9108,0.0042,0.9666,0.0014,0.4183,0.0105,0.4349,0.0123,33.6000,5.2249
gazecom,cnn_lstm,5,False,results\kfold\gazecom\cnn_lstm\fold_5\fold5_20260911_054133_t25_lstm2_f32-16-8_k3_do25_lr01_b2048_cnnlstm_metrics.csv,0.7408,0.0080,0.9246,0.0016,0.8311,0.0042,0.6115,0.0223,0.5960,0.0048,0.7244,0.0117,0.8169,0.0074,0.8450,0.0069,0.6360,0.0286,0.5995,0.0053,0.9212,0.0027,0.9703,0.0010,0.3929,0.0075,0.4049,0.0053,35.6000,9.5289
gazecom,conv_attention,5,False,results\kfold\gazecom\conv_attention\fold_5\fold5_20260718_105434_t5_h4_d256_k3_do02_lr001_b2048_convattention_metrics.csv,0.8692,0.0038,0.9622,0.0014,0.8522,0.0011,0.8730,0.0082,0.7893,0.0064,0.8715,0.0040,0.9122,0.0034,0.8680,0.0012,0.8975,0.0067,0.8082,0.0070,0.9813,0.0010,0.9914,0.0004,0.2077,0.0056,0.1959,0.0079,299.2000,1.0954
gazecom,skip_attseqnet,5,False,results\kfold\gazecom\skip_attseqnet\fold_5\fold5_20260912_172627_t257_f32-16-8-8_k3_do02_lr001_b2048_skipattseqnet_metrics.csv,0.6901,0.0037,0.9124,0.0022,0.8033,0.0046,0.5253,0.0106,0.5196,0.0105,0.6758,0.0061,0.7999,0.0028,0.8230,0.0049,0.5606,0.0197,0.5198,0.0106,0.8807,0.0021,0.9562,0.0010,0.4827,0.0079,0.5141,0.0042,91.6000,16.1648
gazecom,tcn,5,False,results\kfold\gazecom\tcn\fold_5\fold5_20260903_163450_t25_ch30_lv4_k5_do25_lr01_b2048_tcn_metrics.csv,0.7313,0.0023,0.9244,0.0007,0.8267,0.0016,0.6149,0.0089,0.5593,0.0057,0.7157,0.0037,0.8184,0.0030,0.8432,0.0029,0.6434,0.0147,0.5579,0.0069,0.9195,0.0006,0.9696,0.0003,0.3976,0.0021,0.4197,0.0014,39.0000,3.0822
hmr,cnn_bilstm,5,False,results\kfold\hmr\cnn_bilstm\fold_5\fold5_20260913_140522_t20_blstm2_f32-16-8_k3_do25_lr01_b2048_cnnbilstm_metrics.csv,0.7775,0.0032,0.9036,0.0010,0.6807,0.0063,0.8819,0.0039,0.6437,0.0045,0.7705,0.0033,0.8483,0.0013,0.7003,0.0068,0.8883,0.0036,0.6450,0.0051,0.9389,0.0010,0.9665,0.0007,0.4236,0.0048,0.4462,0.0052,38.2000,8.7864
hmr,cnn_lstm,5,False,results\kfold\hmr\cnn_lstm\fold_5\fold5_20260912_060515_t20_lstm2_f32-16-8_k3_do25_lr01_b2048_cnnlstm_metrics.csv,0.7197,0.0118,0.9192,0.0030,0.8175,0.0050,0.5727,0.0300,0.5695,0.0105,0.7010,0.0159,0.8051,0.0095,0.8259,0.0081,0.6025,0.0362,0.5705,0.0122,0.9121,0.0052,0.9669,0.0018,0.4176,0.0123,0.4189,0.0056,26.0000,3.7417
hmr,conv_attention,5,False,results\kfold\hmr\conv_attention\fold_5\fold5_20260912_055809_t4_h4_d256_k3_do02_lr001_b2048_convattention_metrics.csv,0.8686,0.0051,0.9423,0.0022,0.7719,0.0067,0.9508,0.0037,0.8094,0.0092,0.8732,0.0060,0.9126,0.0041,0.7922,0.0073,0.9555,0.0038,0.8324,0.0107,0.9795,0.0013,0.9888,0.0008,0.2497,0.0075,0.1882,0.0181,160.0000,26.7114
hmr,skip_attseqnet,5,False,results\kfold\hmr\skip_attseqnet\fold_5\fold5_20260912_190241_t200_f32-16-8-8_k3_do02_lr001_b2048_skipattseqnet_metrics.csv,0.7659,0.0071,0.8949,0.0016,0.6770,0.0135,0.8746,0.0058,0.6171,0.0105,0.7528,0.0093,0.8295,0.0045,0.6923,0.0140,0.8775,0.0093,0.6121,0.0130,0.9181,0.0032,0.9560,0.0021,0.4771,0.0118,0.5329,0.0171,107.0000,44.9166
hmr,tcn,5,False,results\kfold\hmr\tcn\fold_5\fold5_20260903_160244_t20_ch30_lv4_k5_do25_lr01_b2048_tcn_metrics.csv,0.7969,0.0014,0.9089,0.0004,0.7177,0.0031,0.8975,0.0006,0.6635,0.0044,0.7891,0.0023,0.8548,0.0021,0.7328,0.0058,0.9046,0.0019,0.6643,0.0046,0.9468,0.0007,0.9713,0.0003,0.3901,0.0021,0.4199,0.0021,44.4000,6.6558
